adieu,ClosingTalk
adios,ClosingTalk
au revoir,ClosingTalk
bye,ClosingTalk
bye bye,ClosingTalk
bye now,ClosingTalk
cya,ClosingTalk
farewell,ClosingTalk
good bye,ClosingTalk
good day,ClosingTalk
good night,ClosingTalk
goodbye,ClosingTalk
got to go,ClosingTalk
gotta go,ClosingTalk
gotta run,ClosingTalk
gtg,ClosingTalk
have to go,ClosingTalk
have to leave,ClosingTalk
have to run,ClosingTalk
i'm leaving,ClosingTalk
later,ClosingTalk
laters,ClosingTalk
logging off,ClosingTalk
my time is up,ClosingTalk
need to go,ClosingTalk
need to leave,ClosingTalk
need to run,ClosingTalk
ok bye,ClosingTalk
out of time,ClosingTalk
over and out,ClosingTalk
see ya,ClosingTalk
see ya later,ClosingTalk
see ya soon,ClosingTalk
see you,ClosingTalk
see you later,ClosingTalk
see you soon,ClosingTalk
should be going,ClosingTalk
should go,ClosingTalk
signing off,ClosingTalk
signing out,ClosingTalk
so long,ClosingTalk
thank you for your help,ClosingTalk
thanks watson,ClosingTalk
then bye,ClosingTalk
time to go,ClosingTalk
toodles,ClosingTalk
ab,GiveName
agus,GiveName
ajay,GiveName
alfonzo,GiveName
alva,GiveName
amit,GiveName
andrew,GiveName
anil,GiveName
annett,GiveName
arnold,GiveName
ben,GiveName
beverley,GiveName
chantel,GiveName
desiree,GiveName
diane,GiveName
dylan,GiveName
edris,GiveName
eric,GiveName
forest,GiveName
freddy,GiveName
george,GiveName
i am prem,GiveName
i'm also known as heather,GiveName
i'm called dan,GiveName
i'm natalie,GiveName
irene,GiveName
jeanne,GiveName
jenniffer,GiveName
jeracio,GiveName
jim,GiveName
joe,GiveName
jonathon,GiveName
kakaman,GiveName
karlyn,GiveName
kasie,GiveName
kindra,GiveName
kyle,GiveName
lajuana,GiveName
laurie,GiveName
leo,GiveName
lesa,GiveName
lucinda,GiveName
marti,GiveName
marylou,GiveName
merideth,GiveName
michael,GiveName
mj,GiveName
my name is ashima,GiveName
my name is jenny,GiveName
my name is rafah,GiveName
my name is ralph,GiveName
my nickname is bob,GiveName
neil,GiveName
pat,GiveName
people call me chuck,GiveName
richard,GiveName
rochel,GiveName
ryan,GiveName
salvador,GiveName
sanjay,GiveName
shan,GiveName
suranjit,GiveName
thersa,GiveName
tisha,GiveName
vannessa,GiveName
varada,GiveName
ward,GiveName
wassim,GiveName
watson,GiveName
yi,GiveName
you can call me sir,GiveName
aloha,OpeningTalk
bad,OpeningTalk
bonjour,OpeningTalk
buenos dias,OpeningTalk
ciao,OpeningTalk
feeling bit low,OpeningTalk
g'day,OpeningTalk
good,OpeningTalk
good day,OpeningTalk
good evening,OpeningTalk
good how are you,OpeningTalk
good morning,OpeningTalk
great,OpeningTalk
greetings,OpeningTalk
hello,OpeningTalk
hey,OpeningTalk
hey there,OpeningTalk
heya,OpeningTalk
hi,OpeningTalk
hi there,OpeningTalk
hiya,OpeningTalk
hola,OpeningTalk
howdy,OpeningTalk
i am not feeling good,OpeningTalk
i'm feeling good thanks,OpeningTalk
its not that good,OpeningTalk
namaste,OpeningTalk
yello,OpeningTalk
yo,OpeningTalk
any specific recipe?,OtherClass
asdf,OtherClass
bad data,OtherClass
make me a sandwich,OtherClass
can you get me a cup of coffee,OtherClass
changed my mind find the fil,OtherClass
data,OtherClass
derp,OtherClass
dfsaf,OtherClass
dfsafsd,OtherClass
channa dal,OtherClass
excellent,OtherClass
go back,OtherClass
high of course,OtherClass
how does hawaiian pizza taste?,OtherClass
how it is as compare to previous,OtherClass
how to add to favorites,OtherClass
i didn't like onions,OtherClass
i dont like any of these options,OtherClass
i hate cooking,OtherClass
i need a new brass,OtherClass
i want a new mouse,OtherClass
i'd like to cook pizza.,OtherClass
is pizza vegetarian?,OtherClass
is pizza italian or mexican?,OtherClass
does pizza contain cheese?,OtherClass
is there any good dish?,OtherClass
jkfl;sa,OtherClass
jswjehs,OtherClass
mexican pizza,OtherClass
taco bell,OtherClass
pizza ingredients,OtherClass
sushi,OtherClass
sushi how to make?,OtherClass
more,OtherClass
not really maybe,OtherClass
ok so what else do you need to know?,OtherClass
hawaiian pizza with pineapple,OtherClass
nut allergy,OtherClass
tandoori chicken,OtherClass
sdf,OtherClass
sdfa,OtherClass
sdfsafd,OtherClass
show me more,OtherClass
show me pizza recipe,OtherClass
show more,OtherClass
show more recipes,OtherClass
show recipes with chicken,OtherClass
suggest better one,OtherClass
chicken parmesan,OtherClass
tell me about bacon cheeseburger?,OtherClass
french fries,OtherClass
greek yogurt,OtherClass
lactose intolerant,OtherClass
what are the best recipes,OtherClass
what do you recommend,OtherClass
what is the cooking time for pizza,OtherClass
can you tell me about cars,PreSequence
do you have,PreSequence
do you know,PreSequence
do you know about cooking,PreSequence
do you know about weather,PreSequence
do you know anything about cooking,PreSequence
what can you do?,PreSequence
what can you tell me,PreSequence
what can you tell me about,PreSequence
what do you know,PreSequence
what do you know about,PreSequence
what do you know about recipes,PreSequence
what recipes do you know about,PreSequence
again!,RepairTalk
already told you,RepairTalk
are those all of them?,RepairTalk
change to vegetarian,RepairTalk
come again,RepairTalk
help,RepairTalk
how do you know that?,RepairTalk
i don't get it,RepairTalk
i don't understand,RepairTalk
i mean,RepairTalk
i meant,RepairTalk
i'm confused,RepairTalk
